,IFT,IFT ANN model,IFT ANN model
474,51.3,50.16998,50.16998
475,30.6,30.408415,30.408415
476,31.81,31.49456,31.49456
477,41.1,40.6059,40.6059
478,57.0,59.033527,59.033527
479,58.06,57.113995,57.113995
480,45.05,43.90488,43.90488
481,40.8,40.458546,40.458546
482,42.4,42.00623,42.00623
483,32.82,32.82391,32.82391
484,29.82,28.162228,28.162228
485,36.05,36.217358,36.217358
486,55.9,56.098133,56.098133
487,46.65,46.861805,46.861805
488,31.7,32.57375,32.57375
489,61.3,62.25204,62.25204
490,42.19,42.208706,42.208706
491,31.14,30.863548,30.863548
492,46.68,46.807255,46.807255
493,57.0,57.422974,57.422974
494,45.9,44.933994,44.933994
495,27.8,28.174128,28.174128
496,22.25,23.229353,23.229353
497,29.26,30.670149,30.670149
498,28.1,27.506083,27.506083
499,27.73,27.865162,27.865162
500,23.38,23.344866,23.344866
501,60.84,60.46099,60.46099
502,43.7,43.7382,43.7382
503,50.53,49.955173,49.955173
504,46.3,46.236794,46.236794
505,28.4,28.330896,28.330896
506,36.85,37.252422,37.252422
507,25.65,30.485973,30.485973
508,29.05,30.450964,30.450964
509,40.6,40.33241,40.33241
510,45.38,45.063866,45.063866
511,45.67,46.204327,46.204327
512,55.98,55.620625,55.620625
513,33.4,32.597393,32.597393
514,36.6,36.369656,36.369656
515,28.88,30.59584,30.59584
516,20.2,20.347414,20.347414
517,56.13,57.30187,57.30187
518,23.14,22.846329,22.846329
519,20.2,19.852125,19.852125
520,62.55,61.650654,61.650654
521,25.8,24.92805,24.92805
522,31.1,30.916834,30.916834
523,31.86,31.446701,31.446701
524,36.86,38.218273,38.218273
525,27.86,28.009779,28.009779
526,56.7,57.120422,57.120422
527,43.02,43.805534,43.805534
528,62.1,61.592525,61.592525
529,68.78,68.94323,68.94323
