Temperature,Pressure,Methane,Nitrogen,M1_conc,M2_conc,Salttype,D_change,Phase,IFT
60.15,11.02,0,0,0,0,Water,0.630434783,SC,31.9
25.15,10.01,0,0,0,0,Water,0.185136897,LIQUID,28.4
60.15,12.02,0,0,0,0,Water,0.554151625,SC,30.7
25.15,12.42,0,0,0,0,Water,0.152941176,LIQUID,27.3
60.15,13.02,0,0,0,0,Water,0.484848485,SC,30.4
25.15,14.91,0,0,0,0,Water,0.128851541,LIQUID,27.6
60.15,14.01,0,0,0,0,Water,0.428571429,SC,30
25.15,17.47,0,0,0,0,Water,0.108810394,LIQUID,26.8
60.05,15,0,0,0,0,Water,0.38671875,SC,29.7
25.15,20.01,0,0,0,0,Water,0.092177745,LIQUID,25.1
60.05,17.51,0,0,0,0,Water,0.31441048,SC,28.8
60.05,20.02,0,0,0,0,Water,0.267806268,SC,28.2
26.9,5.06,0,0,0.045,0.045,NaClCaCl,0.88371,GAS,40.67
27,6.1,0,0,0.045,0.045,NaClCaCl,0.82719,GAS,35.95
27,7.62,0,0,0.045,0.045,NaClCaCl,0.28106,LIQUID,31.69
27,9.97,0,0,0.045,0.045,NaClCaCl,0.21939,LIQUID,31.25
27,14.19,0,0,0.045,0.045,NaClCaCl,0.16461,LIQUID,29.31
27,18.09,0,0,0.045,0.045,NaClCaCl,0.13242,LIQUID,28.49
27,21.29,0,0,0.045,0.045,NaClCaCl,0.11191,LIQUID,28
27,25.3,0,0,0.045,0.045,NaClCaCl,0.0908,LIQUID,28.44
27,5.37,0,0,0.5,0.5,NaClCaCl,0.92412,GAS,41.67
26.9,6.28,0,0,0.5,0.5,NaClCaCl,0.86511,GAS,37.45
27,7.62,0,0,0.5,0.5,NaClCaCl,0.33416,LIQUID,34.58
27.1,10.05,0,0,0.5,0.5,NaClCaCl,0.27161,LIQUID,33.6
27,14.15,0,0,0.5,0.5,NaClCaCl,0.21722,LIQUID,31.19
27,17.92,0,0,0.5,0.5,NaClCaCl,0.18552,LIQUID,30.28
26.9,21.27,0,0,0.5,0.5,NaClCaCl,0.16328,LIQUID,30.51
27,25.32,0,0,0.5,0.5,NaClCaCl,0.142,LIQUID,30.25
27,5.09,0,0,1,1,NaClCaCl,0.99166,GAS,43.64
27,6.24,0,0,1,1,NaClCaCl,0.92374,GAS,38.59
27,7.42,0,0,1,1,NaClCaCl,0.39745,LIQUID,35.44
27,10.11,0,0,1,1,NaClCaCl,0.32381,LIQUID,34.25
27.1,14.06,0,0,1,1,NaClCaCl,0.27268,LIQUID,33.31
26.9,17.97,0,0,1,1,NaClCaCl,0.23832,LIQUID,32.82
27,20.97,0,0,1,1,NaClCaCl,0.21895,LIQUID,32.42
27,25.02,0,0,1,1,NaClCaCl,0.19669,LIQUID,31.42
26.9,5.15,0,0,1.5,1.5,NaClCaCl,1.0383,GAS,46.96
26.7,6.11,0,0,1.5,1.5,NaClCaCl,0.9825,GAS,42.14
27,7.61,0,0,1.5,1.5,NaClCaCl,0.438,LIQUID,36.85
